factor,n,ats_rate,edge,p_value
away_revenge,2463,0.6910272025984570,0.19102720259845700,5.14226377546598E-82
home_lookahead,3078,0.6832358674463940,0.18323586744639400,7.41241614581172E-94
away_rlm,2210,0.6787330316742080,0.17873303167420800,1.37469440924756E-64
home_fatigue,2133,0.6708860759493670,0.1708860759493670,4.45358100915884E-57
home_letdown,2671,0.6690378135529760,0.16903781355297600,1.57001244478092E-69
away_sharp_money,2823,0.6648955012398160,0.16489550123981600,7.41010357177137E-70
away_public_faded,4025,0.6591304347826090,0.1591304347826090,4.48127148104542E-92
away_dog_value,3778,0.6569613552143990,0.15696135521439900,3.36512557441848E-84
away_slow_pace,3210,0.6479750778816200,0.1479750778816200,6.81296054676938E-64
home_travel_fatigue,1843,0.6321215409658170,0.13212154096581700,4.82723337638706E-30