threshold,n,wins,ats_rate,p_value,ci_low,ci_high,kelly_pct
2,15824,10020,0.6332153690596560,4.06095736384779E-249,0.6256510163982680,0.640730722809194,22.975227502527800
3,15824,10020,0.6332153690596560,4.06095736384779E-249,0.6256510163982680,0.640730722809194,22.975227502527800
4,15354,9769,0.6362511397681390,5.69293225354875E-253,0.6285838926515990,0.6438667325765200,23.61273935130910
5,10435,6968,0.6677527551509340,2.76412733389192E-262,0.6586216454023900,0.6767901672836810,30.228078581696200
6,8406,5748,0.6837972876516770,1.02865918185254E-254,0.6737350550867200,0.6937319720282820,33.59743040685220
7,8406,5748,0.6837972876516770,1.02865918185254E-254,0.6737350550867200,0.6937319720282820,33.59743040685220
8,7950,5485,0.689937106918239,1.15667181784279E-257,0.6796389104751960,0.7000958985353810,34.88679245283020
9,5510,3894,0.7067150635208710,6.80186214928843E-213,0.6944961116193800,0.7187147382845610,38.410163339382900
10,3352,2450,0.7309069212410500,2.53935509916967E-163,0.7155472348619380,0.7458627956478750,43.490453460620500
11,3071,2269,0.7388472810159560,1.38513875597877E-160,0.7229258912758040,0.7543124493304550,45.1579290133507
12,2841,2123,0.7472720872932070,9.75913834109734E-160,0.7308663936617990,0.763166897298235,46.92713833157340
13,2086,1596,0.7651006711409400,4.7679916158136E-136,0.7463032539282160,0.783150187120611,50.67114093959730
14,1099,855,0.7779799818016380,6.00230437240798E-80,0.7522265101276370,0.8022356603119900,53.37579617834400
15,790,625,0.7911392405063290,9.50902351833605E-64,0.7610984497194220,0.8189883758860990,56.139240506329100
16,731,574,0.7852257181942550,1.23952016282436E-56,0.7536500436239490,0.8144794143518960,54.89740082079340
17,558,444,0.7956989247311830,5.92523064671104E-47,0.7598223975240790,0.8284088408625300,57.09677419354840
18,288,233,0.8090277777777780,3.06954934840426E-27,0.7587974618198630,0.8527719563443060,59.895833333333300
19,146,119,0.815068493150685,5.57962755045433E-15,0.7424595175312290,0.8744497630820490,61.164383561643800